1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES,GE RUNOFF ELECTION %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",SPECIAL PE/CONVENTION/RUNOFF WINNER INDICATOR,SPECIAL GE/RUNOFF WINNER INDICATOR,FOOTNOTES,"MEMBER WHOSE DEATH OR RESIGNATION CREATED THE VACANCY (""-"" indicates death)",
263,OH,Ohio,15,H0OH18101,,Ron,Hood,"Hood, Ron",,R,"6,676",13.13%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
264,OH,Ohio,15,H2OH15129,,Bob ,Peterson,"Peterson, Bob ",,R,"6,407",12.60%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
265,OH,Ohio,15,H2OH15160,,Ruth ,Edmonds,"Edmonds, Ruth ",,R,"5,090",10.01%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
266,OH,Ohio,15,H2OH15202,,Thomas ,Hwang,"Hwang, Thomas ",,R,"2,499",4.91%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
267,OH,Ohio,15,H2OH15152,,Stephanie,Kunze,"Kunze, Stephanie",,R,"2,363",4.65%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
268,OH,Ohio,15,H2OH15236,,Thad ,Cooperrider,"Cooperrider, Thad ",,R,"1,076",2.12%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
269,OH,Ohio,15,H2OH15186,,Omar,Tarazi,"Tarazi, Omar",,R,907,1.78%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
270,OH,Ohio,15,H0OH15099,,John,Adams,"Adams, John",,R,173,0.34%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
271,OH,Ohio,15,H2OH15251,,Eric M. ,Clark,"Clark, Eric M. ",,R,83,0.16%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
272,OH,Ohio,15,,,,,,Total Party Votes:,R,"50,855",,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
273,OH,Ohio,15,H2OH15210,,Allison,Russo,"Russo, Allison",,D,"13,704",84.18%,,,"67,588",41.70%,,,,,W,,SPECIAL PRIMARY ELECTION: 8/03/2021; SPECIAL GENERAL ELECTION: 11/02/2021.,Steve Stivers (R),
274,OH,Ohio,15,H2OH15244,,Greg ,Betts,"Betts, Greg ",,D,"2,576",15.82%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
275,OH,Ohio,15,,,,,,Total Party Votes:,D,"16,280",,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021.,Steve Stivers (R),
276,OH,Ohio,15,,,,,,Total State Votes:,,"67,135",,,,"162,089",,,,,,,,SPECIAL PRIMARY ELECTION: 8/03/2021; SPECIAL GENERAL ELECTION: 11/02/2021.,Steve Stivers (R),
277,,,,,,,,,,,,,,,,,,,,,,,,,
278,FL,Florida,20,H8FL20032,,Sheila,Cherfilus-McCormick,"Cherfilus-McCormick, Sheila",,D,"11,662",23.76%,,,"44,707",78.96%,,,,,W,W,SPECIAL PRIMARY ELECTION:  11/02/2021; SPECIAL GENERAL ELECTION:  1/11/2022.,Alcee L. Hastings (D)-,
279,FL,Florida,20,H2FL20159,,Dale V.C.,Holness,"Holness, Dale V.C.",,D,"11,657",23.75%,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
280,FL,Florida,20,H2FL20134,,Barbara,Sharief,"Sharief, Barbara",,D,"8,684",17.69%,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
281,FL,Florida,20,H2FL20183,,"Perry E., Jr.",Thurston,"Thurston, Perry E., Jr.",,D,"7,283",14.84%,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
282,FL,Florida,20,H2FL20209,,Bobby B. ,DuBose,"DuBose, Bobby B. ",,D,"3,458",7.05%,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
283,FL,Florida,20,H2FL20217,,Omari,Hardy,"Hardy, Omari",,D,"2,902",5.91%,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
284,FL,Florida,20,H2FL20175,,Priscilla Ann,Taylor,"Taylor, Priscilla Ann",,D,"1,677",3.42%,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
285,FL,Florida,20,H2FL20142,,Elvin,Dowling,"Dowling, Elvin",,D,646,1.32%,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
286,FL,Florida,20,H4FL21054,,Emmanuel G.,Morel,"Morel, Emmanuel G.",,D,454,0.92%,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
287,FL,Florida,20,H2FL20266,,Phil,Jackson,"Jackson, Phil",,D,343,0.70%,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
288,FL,Florida,20,H2FL20274,,Dr. Imran Uddin,Siddiqui,"Siddiqui, Dr. Imran Uddin",,D,316,0.64%,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
289,FL,Florida,20,,,,,,Total Party Votes:,D,"49,082",,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
290,FL,Florida,20,H2FL20290,,Jason,Mariner,"Mariner, Jason",,R,"3,500",57.82%,,,"10,966",19.37%,,,,,W,,SPECIAL PRIMARY ELECTION:  11/02/2021; SPECIAL GENERAL ELECTION:  1/11/2022.,Alcee L. Hastings (D)-,
291,FL,Florida,20,H0FL20120,,Greg,Musselwhite,"Musselwhite, Greg",,R,"2,553",42.18%,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
292,FL,Florida,20,,,,,,Total Party Votes:,R,"6,053",,,,,,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021.,Alcee L. Hastings (D)-,
293,FL,Florida,20,H2FL20191,,Mike,ter Maat,"ter Maat, Mike",,LBF,Unopposed,,,,395,0.70%,,,,,W,,SPECIAL PRIMARY ELECTION:  11/02/2021; SPECIAL GENERAL ELECTION:  1/11/2022.,Alcee L. Hastings (D)-,
294,FL,Florida,20,H2FL20282,,Jim,Flynn,"Flynn, Jim",,NPA,,,,,265,0.47%,,,,,,,SPECIAL GENERAL ELECTION:  1/11/2022.,Alcee L. Hastings (D)-,
295,FL,Florida,20,H2FL20241,,Leonard L.,Serratore,"Serratore, Leonard L.",,NPA,,,,,262,0.46%,,,,,,,SPECIAL GENERAL ELECTION:  1/11/2022.,Alcee L. Hastings (D)-,
296,FL,Florida,20,H2FL20324,,Shelley ,Fain,"Fain, Shelley ",,W,,,,,22,0.04%,,,,,,,SPECIAL GENERAL ELECTION:  1/11/2022.,Alcee L. Hastings (D)-,
297,FL,Florida,20,,,,,,Total State Votes:,,"55,135",,,,"56,617",100.00%,,,,,,,SPECIAL PRIMARY ELECTION:  11/02/2021; SPECIAL GENERAL ELECTION:  1/11/2022.,Alcee L. Hastings (D)-,
298,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,,,,
"* These candidates were nominated by special caucus/convention, in accordance with party rules.",,,,,,,,,,,,,,,,,,,,,,,,,
"**  For the NC/09 special election, see the Federal Elections 2018 publication.  The 2019 NC/09 special election was a new election ordered by the North Carolina State Board of Elections to fill the U.S. House seta left vacant after the November 2018 general election.  (The November 2018 general election results for NC/09 were not certified.)",,,,,,,,,,,,,,,,,,,,,,,,,
"***  For the Arizona and Georgia U.S. Senate Unexpired Terms, the results are also included in the  ""2020 US Senate Results by State"" tab.*",,,,,,,,,,,,,,,,,,,,,,,,,
